id,start_from_week_seconds,duration
422746,567093,95
422745,567088,202
422744,567073,286
422743,567055,266
422742,567047,290
422741,567029,292
422740,566992,345
422739,566972,340
422738,566957,392
422737,566951,361
422736,566927,339
422735,566912,390
422734,566899,373
422733,566880,345
422732,566875,409
422731,566852,362
422730,566845,456
422729,566843,447
422728,566843,441
422727,566837,3502
422726,566835,431
422725,566823,449
422724,566817,437
422723,566810,385
422722,566803,437
422721,566766,474
422720,566733,481
422719,566732,450
422718,566717,537
422717,566706,482
422716,566702,523
422715,566685,510
422714,566651,482
422713,566630,552
422712,566613,493
422711,566569,502
422710,566569,526
422709,566560,470
422708,566527,579
422707,566511,580
422706,566508,563
422705,566461,630
422704,566458,553
422703,566446,602
422702,566423,625
422701,566332,679
422700,566330,700
422699,566244,794
422698,566216,494
422697,566195,803
422696,566168,807
422695,566163,820
422694,566162,836
422693,566155,812
422692,566151,832
422691,566148,827
422690,566117,799
422689,566109,858
422688,566093,808
422687,566067,873
422686,566035,881
422685,566030,910
422684,566018,868
422683,565988,913
422682,565943,952
422681,565930,956
422680,565917,978
422679,565835,933
422678,565824,1046
422677,565811,1059
422676,565752,1034
422675,565739,1116
422674,565718,1002
422673,565710,1049
422672,565686,1090
422671,565664,1182
422670,565635,1211
422669,565635,1151
422668,565631,1159
422667,565630,1047
422666,565627,1149
422665,565598,1134
422664,565584,1175
422663,565583,1162
422662,565568,1200
422660,565530,1190
422659,565519,1213
422658,565495,1250
422657,565491,1186
422655,565460,1250
422654,565406,4896
422652,565379,1286
422651,565350,1302
422650,565304,1355
422649,565294,1358
422648,565231,1428
422647,565140,1525
422646,565129,1469
422645,565058,1586
422644,565058,1575
422643,565015,1629
422642,565010,1606
422641,565000,2150
422640,564975,1623
422639,564973,1609
422638,564965,2175
422637,564927,1642
422636,564888,1694
422635,564846,1723
422634,564842,1715
422633,564811,1746
422632,564597,1940
422631,564565,1972
422630,564539,1969
422629,564499,2062
422628,564489,2678
422627,564467,2676
422626,564417,2066
422625,564364,2119
422624,564324,2136
422623,564316,2156
422622,564261,2199
422621,564218,2915
422620,564052,2403
422619,564008,2490
422618,564004,2451
422617,563977,2138
422616,563975,2463
422615,563846,2597
422614,563835,2603
422613,563802,2666
422612,563749,2659
422611,563747,2678
422610,563728,3390
422609,563708,2717
422608,563683,2718
422607,563678,3448
422606,563662,2746
422605,563610,2791
422604,563598,2749
422603,563561,2786
422602,563471,2862
422601,563428,2912
422600,563392,2948
422599,563322,3000
422598,563265,3068
422597,563252,3049
422596,563143,3179
422595,563111,3183
422594,563099,3195
422593,563061,3240
422592,563043,3211
422591,562955,3299
422590,562953,3287
422589,562939,3294
422588,562938,3283
422587,562932,3346
422586,562926,3314
422585,562918,3303
422584,562904,3329
422583,562619,3590
422582,562593,3616
422581,562565,3630
422580,562559,3636
422579,562456,3691
422578,562369,3762
422577,562303,3769
422576,562300,3843
422575,562262,3869
422574,562252,3891
422573,562205,3900
422572,562179,3910
422571,562135,3970
422570,562063,4026
422569,561909,4163
422568,561881,4234
422567,561835,4225
422566,561771,4276
422565,561742,4305
422564,561695,4365
422563,561606,4432
422562,561571,4460
422561,561526,4476
422560,561526,4512
422559,561518,4513
422558,561485,4517
422557,561409,4583
422556,561353,4621
422555,561331,4252
422554,561285,4545
422553,561284,4732
422552,561267,4749
422551,561261,4713
422550,561196,4737
422549,561195,4746
422548,561143,4730
422547,561127,4793
422546,561125,4808
422545,561112,4880
422544,561103,4817
422543,561026,4861
422542,561021,4880
422541,561009,4928
422540,561000,4901
